pid,workerid,status,beginexp,condition,pid,bonus
192,A3OQ2IHS3KKIHY,3,2021-07-28 11:16:05.048387,1,192,0.0
193,A2PWYWLB0TNVRU,3,2021-07-28 11:11:41.212312,0,193,0.0
194,A1ADKYQMD1GU7A,3,2021-07-28 11:06:02.647629,1,194,0.0
195,A2N9WNWD5GPM6O,3,2021-07-28 11:06:13.201066,2,195,3.91
196,A3A6IHRYUR9STO,3,2021-07-28 11:05:57.083046,3,196,0.09
197,ABSK9TAZ0NNRD,3,2021-07-28 10:57:44.317287,0,197,0.0
198,A2PDJIY8LWG63N,3,2021-07-28 10:56:01.884754,2,198,4.19
199,A8V0L2YF8U6OX,3,2021-07-28 10:58:43.927406,2,199,0.0
200,A3PSY76FRTWBBI,3,2021-07-28 10:52:57.678899,3,200,0.17
201,A32UH026VJNT6D,3,2021-07-28 10:42:50.058586,1,201,0.0
202,A1ZQKZ2ZZRWTCN,3,2021-07-28 10:38:23.575194,0,202,0.0
203,ADPNI115MW4RP,3,2021-07-28 10:25:25.049336,1,203,0.0
204,A2Y6I83P3FWWJN,3,2021-07-28 10:23:37.462127,2,204,5.0
205,A398O60Z1KEZM8,3,2021-07-28 10:23:45.858577,0,205,0.0
206,A2CCHNM5S3OLH3,3,2021-07-28 10:14:33.774487,1,206,0.0
207,A20D9HRB03PITM,3,2021-07-28 10:15:10.632995,3,207,0.2
