pid,workerid,status,beginexp,condition,pid,bonus
130,A3LTQ82UWIYUGH,3,2021-08-03 16:42:05.635755,2,130,2.7
131,A3E5TJSFNAT0RC,3,2021-08-03 16:40:31.130131,1,131,2.49
132,AF2BJOFFCZQWY,3,2021-08-03 16:40:02.928511,2,132,2.29
133,A2D2LPTGALT1QU,3,2021-08-03 16:43:14.294714,0,133,0.0
134,A2QFRIDZ31B9Z7,3,2021-08-03 16:39:04.897383,1,134,2.5
135,A2DFNNDO9YE0NL,3,2021-08-03 16:40:03.324028,2,135,3.05
136,A32D3UQYWJBZGB,3,2021-08-03 16:37:56.60218,2,136,3.17
137,ATUA5M7PLS8W3,3,2021-08-03 16:37:25.085956,1,137,2.46
138,A36RLDAWKT75FD,3,2021-08-03 16:37:21.558032,0,138,2.4
139,A30XUDLUZL2F3E,3,2021-08-03 16:37:11.048552,0,139,2.48
140,A17C5TK5G34PL7,3,2021-08-03 16:34:37.324242,2,140,3.04
141,A2DQPK76L6YR7A,3,2021-08-03 16:32:57.264056,2,141,3.09
142,A2TP9HML9WLM89,3,2021-08-03 16:32:42.960466,1,142,2.4
143,A195MOXRMNHRVT,3,2021-08-03 16:31:26.070858,0,143,2.99
144,A1YDPMA6J1Q9G7,3,2021-08-03 16:31:12.491424,2,144,3.18
145,A222GZB608T1B8,3,2021-08-03 16:29:00.733188,1,145,2.95
146,A37PYANAIWQNMX,3,2021-08-03 16:31:40.364386,1,146,0.0
147,A1OPGCGOWRFOKL,3,2021-08-03 16:27:03.815118,2,147,3.12
148,AF7MYRJCX8OPM,3,2021-08-03 16:27:02.687984,1,148,3.34
149,A1VJ7EL0YXE6XG,3,2021-08-03 16:26:11.559083,2,149,2.91
150,A2BV125YV6CQG0,3,2021-08-03 16:33:42.631358,0,150,2.23
151,A1K699QHRC568Z,3,2021-08-03 16:25:00.202657,0,151,0.91
152,ALJ47QLTHMGOI,3,2021-08-03 16:27:39.867027,1,152,2.92
153,AUZNL6ARA1UEC,3,2021-08-03 16:24:26.643661,2,153,3.03
154,A6VBC0IVQGSBC,3,2021-08-03 16:26:33.107609,1,154,2.86
155,A1JSVBR3BE3FJP,3,2021-08-03 16:21:54.896222,0,155,1.38
156,A15R4L3EO5EAI9,3,2021-08-03 16:21:39.273066,2,156,0.79
157,ATU582WJWMEL2,3,2021-08-03 16:19:17.719839,2,157,2.85
158,A1K88C0IRL7KVH,3,2021-08-03 16:17:59.011676,1,158,1.91
159,A30CKD84V82EH2,3,2021-08-03 16:17:54.134015,1,159,0.0
160,A2JAZKJ30TDTMQ,3,2021-08-03 16:17:24.366351,0,160,0.0
161,A3GYIGMAZSNWP8,3,2021-08-03 16:17:24.399899,2,161,2.59
162,A271830PNYAI2G,3,2021-08-03 16:18:50.758993,2,162,2.69
163,A1YV33J3ESO9H1,3,2021-08-03 16:15:42.851812,1,163,3.39
164,A3C49ON1P4KF40,3,2021-08-03 16:15:27.997192,0,164,2.2
165,AJ11ZVNAOR4QW,3,2021-08-03 16:15:22.765325,0,165,2.87
166,A3PDHIHT26E711,3,2021-08-03 16:16:47.848657,1,166,0.0
167,AAF1SSDOE4ITZ,3,2021-08-03 16:14:32.928635,2,167,0.0
168,A1P51R2I1JDI5J,3,2021-08-03 16:13:33.224768,2,168,2.76
169,A2WO6SGQGS5SEM,3,2021-08-03 16:12:44.408809,1,169,2.68
170,A2QPSQKXBTFRAP,3,2021-08-03 16:13:40.197913,1,170,0.0
171,A1XKRWCTW9GXJE,3,2021-08-03 16:11:28.396396,2,171,2.44
172,A2I8VBHRESMG9S,3,2021-08-03 16:10:39.575274,0,172,2.85
173,A16Y7XWTS0JTKU,3,2021-08-03 16:10:39.947651,0,173,2.75
174,ADIXVUPICNIY4,3,2021-08-03 16:08:44.293308,2,174,3.0
175,A3M8O363B3IAKE,3,2021-08-03 16:10:14.353595,1,175,3.19
176,AZRHP5WO6FP53,3,2021-08-03 16:08:12.562599,2,176,2.42
177,AQV1A1B6G2S6M,3,2021-08-03 16:07:50.709221,1,177,3.03
178,A1AJG4BGSRPC93,3,2021-08-03 16:08:26.666953,0,178,2.44
179,A1QUHXSLD0HSQR,3,2021-08-03 16:09:50.722612,1,179,2.68
180,A2UQ98FHANPPLW,3,2021-08-03 16:06:58.84494,0,180,2.09
181,A2SL8R5B6QX4Q0,3,2021-08-03 16:06:24.4567,2,181,1.89
182,AKI5LV65NLSQC,3,2021-08-03 16:06:01.979798,1,182,0.0
183,ATB5G8AA6UI1G,3,2021-08-03 16:05:26.094277,0,183,2.83
184,ATP7UGJ619ZRS,3,2021-08-03 16:06:01.590414,2,184,2.69
185,A34YJ1PY7O65TB,3,2021-08-03 16:04:52.527586,1,185,2.82
186,A22F392H7KY39N,3,2021-08-03 16:04:42.362367,2,186,2.52
187,AOO39X8E3OJYY,3,2021-08-03 16:04:31.75417,0,187,2.14
188,A1IBMP9R17ORZB,3,2021-08-03 16:04:26.809355,2,188,0.25
189,A1YX8VS4B8XNJN,3,2021-08-03 16:04:18.167584,1,189,2.23
190,AJW3SRVZK05YB,3,2021-08-03 16:04:08.751212,1,190,2.65
191,A1WEA679DRL122,3,2021-08-03 16:04:03.397327,0,191,2.31
192,A23CKSG4LZJ17I,3,2021-08-03 16:11:40.114972,2,192,2.43
