pid,trial_index,action_time,actions,block,path,queries,reward,rt,condition,bonus,score,simulation_mode,state_rewards,time_elapsed,trialTime,trial_type,reward_withheld
60fd5adad03767cff6dddda8,21,"[9194, 9868, 10515]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3', '12', '8', '7', '11'], 'time': [1837, 2603, 4039, 4891, 6359, 7234]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['1', '4', '2', '3', '1', '9', '12', '12', '8', '6', '7', '1', '11', '9'], 'time': [1379, 1585, 2168, 2203, 2952, 2986, 3303, 3839, 4674, 5172, 6209, 6720, 6954, 7692]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '1', '4', '2', '3', '1', '9', '12', '12', '8', '6', '7', '1', '11', '9'], 'time': [694, 1418, 2151, 2184, 2921, 2968, 3021, 3369, 4305, 5171, 5205, 6689, 6737, 7646, 11442]}, 'edge': {'target': [], 'time': []}}}","[2, -8, 24]","[8114, 177, 114]",0,0,17,"[None, None, None]","['', 2, -8, 24, -24, -2, 8, -48, -48, 2, -8, -24, -48]",1296266,11925,mouselab-mdp,False
60fd5adad03767cff6dddda8,22,"[11844, 12520, 13194]","['left', 'left', 'up']",test,"['0', '0', '9', '10', '11']","{'click': {'state': {'target': ['4', '3', '12', '11', '7', '8'], 'time': [5659, 7466, 8354, 9090, 9853, 10624]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '2', '4', '3', '3', '1', '9', '12', '10', '11', '1', '7', '6', '8'], 'time': [5043, 5076, 5258, 5310, 6176, 7227, 7872, 7884, 7962, 8809, 8833, 9350, 9626, 10167, 10210]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '2', '4', '3', '3', '1', '9', '12', '10', '11', '1', '7', '6', '8'], 'time': [4334, 5058, 5146, 5291, 6131, 6411, 7864, 7882, 7896, 8788, 8830, 9337, 9357, 10130, 10193, 11008]}, 'edge': {'target': [], 'time': []}}}","[4, -8, 24]","[8048, 171, 178]",0,0,19,"[None, None, None]","['', -4, -4, -24, -48, -4, 8, -24, -48, 4, -8, 24, -24]",1310526,14060,mouselab-mdp,False
60fd5adad03767cff6dddda8,23,"[4568, 5186, 5916]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4'], 'time': [3381]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3'], 'time': [2948, 3943]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['4', '3'], 'time': [3721, 3991]}, 'edge': {'target': [], 'time': []}}}","[-2, -4, 48]","[2732, 114, 194]",0,0,46,"[None, None, None]","['', -2, -4, 48, 48, 2, 4, -48, 24, 4, -8, 24, -24]",1321230,10516,mouselab-mdp,False
60fd5adad03767cff6dddda8,24,"[7482, 8151, 8893]","['left', 'left', 'up']",test,"['0', '0', '9', '10', '11']","{'click': {'state': {'target': ['4', '3', '11'], 'time': [4395, 5338, 6264]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '1', '10', '11', '12'], 'time': [3922, 4849, 4910, 5742, 5962, 5997, 6662]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '1', '10', '11', '12'], 'time': [3710, 4831, 4864, 5736, 5753, 5981, 6623, 6826]}, 'edge': {'target': [], 'time': []}}}","[-2, 8, 48]","[4328, 116, 245]",0,0,56,"[None, None, None]","['', -2, -4, -24, -24, 4, 8, 24, 24, -2, 8, 48, 48]",1334059,12560,mouselab-mdp,False
60fd5adad03767cff6dddda8,25,"[8997, 9688, 10416]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4', '3', '11', '12', '7', '8'], 'time': [2516, 3406, 4210, 4970, 5962, 6772]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '11', '12', '8', '6', '7', '6', '8'], 'time': [2141, 2855, 3311, 3962, 4573, 5449, 5551, 5718, 6241, 6470]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '11', '12', '8', '6', '7', '6', '8', '8'], 'time': [2100, 2836, 2871, 3755, 4520, 5254, 5518, 5560, 6223, 6270, 7727, 11655]}, 'edge': {'target': [], 'time': []}}}","[-4, -8, 24]","[7293, 190, 220]",0,0,11,"[None, None, None]","['', -4, -8, -24, 24, 4, 4, -48, -48, -4, -4, 24, -48]",1346299,11983,mouselab-mdp,False
60fd5adad03767cff6dddda8,26,"[8294, 8955, 9757]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3'], 'time': [6308, 7102]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '9'], 'time': [6118, 6637, 6664, 7724]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3'], 'time': [5233, 6631, 6660, 7444]}, 'edge': {'target': [], 'time': []}}}","[4, -8, 48]","[3737, 135, 203]",0,0,47,"[None, None, None]","['', 4, -8, 48, 24, 4, -4, 48, 48, -4, 8, -48, 24]",1360476,14008,mouselab-mdp,False
60fd5adad03767cff6dddda8,27,"[14262, 14955, 15976]","['left', 'left', 'up']",test,"['0', '0', '9', '10', '11']","{'click': {'state': {'target': ['4', '3', '11', '7', '8', '12'], 'time': [5460, 6841, 7863, 8781, 9426, 10192]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '3', '12', '10', '11', '7', '6', '8', '12'], 'time': [1713, 6036, 6567, 7301, 7481, 7655, 8609, 9069, 9137, 9754]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['9', '4', '3', '3', '12', '10', '11', '7', '6', '8', '12'], 'time': [545, 5963, 6229, 7255, 7468, 7547, 8253, 9044, 9104, 9660, 10852]}, 'edge': {'target': [], 'time': []}}}","[-2, 8, 24]","[13237, 171, 483]",0,0,29,"[None, None, None]","['', 2, -4, -48, -48, -2, -4, -24, -48, -2, 8, 24, 24]",1377756,17061,mouselab-mdp,False
60fd5adad03767cff6dddda8,28,"[6309, 6970, 7591]","['left', 'left', 'down']",test,"['0', '0', '9', '10', '12']","{'click': {'state': {'target': ['4', '3', '11', '12'], 'time': [2676, 3364, 4102, 5109]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '2', '3', '11', '10', '12', '5', '6'], 'time': [2347, 2958, 3090, 3967, 4361, 4875, 5357, 5406]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '2', '3', '11', '10', '12', '5', '6'], 'time': [2214, 2943, 3064, 3572, 4358, 4433, 5324, 5376, 5724]}, 'edge': {'target': [], 'time': []}}}","[4, -4, 48]","[4278, 145, 6]",0,0,49,"[None, None, None]","['', 2, -4, 24, -24, 2, -8, 48, 48, 4, -4, 24, 48]",1389652,11780,mouselab-mdp,False
60fd5adad03767cff6dddda8,29,"[9656, 10287, 10996]","['up', 'up', 'right']",test,"['0', '0', '1', '2', '3']","{'click': {'state': {'target': ['4', '3', '11', '12', '8', '7'], 'time': [1653, 2452, 3270, 4141, 5698, 6801]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['4', '3', '11', '10', '12', '8', '8', '6', '7'], 'time': [1352, 2264, 3015, 3673, 3844, 4516, 5413, 6005, 6064]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '4', '3', '11', '10', '12', '8', '8', '6', '7'], 'time': [630, 2007, 2801, 3630, 3744, 4348, 4631, 5986, 6031, 7065]}, 'edge': {'target': [], 'time': []}}}","[-4, 8, 24]","[8662, 122, 206]",0,0,27,"[None, None, None]","['', -4, 8, 24, -24, 4, 8, -24, -48, 2, 4, 24, -24]",1401840,11952,mouselab-mdp,False
60fd5adad03767cff6dddda8,30,"[2985, 3605, 4286]","['up', 'up', 'left']",test,"['0', '0', '1', '2', '4']","{'click': {'state': {'target': ['4'], 'time': [1999]}, 'edge': {'target': [], 'time': []}}, 'mouseover': {'state': {'target': ['2', '4', '2'], 'time': [1529, 1762, 2376]}, 'edge': {'target': [], 'time': []}}, 'mouseout': {'state': {'target': ['0', '2', '4', '2'], 'time': [1506, 1568, 2359, 2407]}, 'edge': {'target': [], 'time': []}}}","[-2, 4, 48]","[1813, 119, 122]",0,0,54,"[None, None, None]","['', -2, 4, -24, 48, 4, -8, 48, -48, 2, -8, 48, 24]",1413011,10954,mouselab-mdp,False
